mes_numero,nombre,tema_mes,versiculo_mes
1,"ENERO","Avivamiento en Pentecostés","Y se les aparecieron lenguas repartidas, como de fuego, asentándose sobre cada uno de ellos. Hechos 2:3"
2,"FEBRERO","Avivamiento Primer Gran Despertar","Y fueron todos llenos del Espíritu Santo, y comenzaron a hablar en otras lenguas, según el Espíritu les daba que hablasen. Hechos 2:4"
3,"MARZO","Avivamiento Segundo Gran Despertar","Moraban entonces en Jerusalén judíos, varones piadosos, de todas las naciones bajo el cielo. Y hecho este estruendo, se juntó la multitud; y estaban confusos, porque cada uno les oía hablar en su propia lengua. Hechos 2:5-6"
4,"ABRIL","Avivamiento en Gales","Y no hizo allí muchos milagros, a causa de la incredulidad de ellos. Mateo 13:58"
5,"MAYO","Avivamiento en la Calle Azuza","Y me buscaréis y me hallaréis, porque me buscaréis de todo vuestro corazón. Jeremías 29:13"
6,"JUNIO","Avivamiento en Argentina","Porque todos los que son guiados por el Espíritu de Dios, éstos son hijos de Dios. Romanos 8:14"
7,"JULIO","Avivamiento en Guatemala","Y el Señor añadia cada día a la iglesia los que habían de ser salvos. Hechos 2:47"
8,"AGOSTO","Avivamiento en Cali","Bienaventurados aquellos siervos a los cuales su señor, cuando venga, halle velando; de cierto os digo que se ceñirá, y hará que se sienten a la mesa, y vendrá a servirles. Lucas 12:37"
9,"SEPTIEMBRE","Avivamiento en África","El avivamiento empieza en ti, apasionado por Su Presencia. Jeremías 32:17"
10,"OCTUBRE","Avivamiento en Assembly of God y Toronto Airport Vineyard Church","El que busca, halla. Lucas 11:10"
11,"NOVIEMBRE","Avivamiento en Europa","La Gloria de Jehová ha nacido sobre ti. Isaías 60:1"
12,"DICIEMBRE","Pastor Gustavo Marto: El futuro del Avivamiento","He aquí, yo estoy a la puerta y llamo. Apocalipsis 3:20"
